applied,f1@10,f1@20,f1@5,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@10,ndcg@20,ndcg@5,pass_to_pass,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5,success@10,success@20,success@5,tests_passed,token_usage,ttft_s
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,astropy__astropy-12907,0.42416973295621574,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-10914,0.5529851709725335,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-11422,0.5248668580316007,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-11910,0.5271699889563024,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-12497,0.5191894649760798,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-13033,0.5780981050338596,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-13551,0.5491029630647972,0.2,0.38685280723454163,0.38685280723454163,0.38685280723454163,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-14017,0.5637345500290394,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-14730,0.583561914972961,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-15252,0.6557460559997708,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.0,0,rag_bm25,django__django-15814,0.6024352110689506,0.125,0.31546487678572877,0.31546487678572877,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,django__django-16379,0.6029109921073541,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,matplotlib__matplotlib-18869,0.28001218498684466,0.3333333333333333,0.5,0.5,0.5,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,matplotlib__matplotlib-24149,0.28038859099615365,0.3333333333333333,0.5,0.5,0.5,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
False,0.18181818181818182,0.09523809523809523,0.33333333333333337,0,rag_bm25,mwaskom__seaborn-2848,0.045977371046319604,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0,1.0,False,0.0,
