applied,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@1,ndcg@10,ndcg@3,ndcg@5,pass_to_pass,precision@1,precision@10,precision@3,precision@5,recall@1,recall@10,recall@3,recall@5,tests_passed,token_usage,ttft_s
False,0,rag_dense,astropy__astropy-12907,4.338583375036251,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,0,rag_dense,astropy__astropy-14182,4.203158291988075,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_dense,astropy__astropy-14365,4.2679052500170656,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,0,rag_dense,astropy__astropy-14995,4.250761208997574,0.25,0.0,0.43067655807339306,0.0,0.43067655807339306,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,0,rag_dense,astropy__astropy-6938,3.2102643749676645,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,0,rag_dense,astropy__astropy-7746,3.343990750028752,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_dense,django__django-10914,9.487587041978259,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_dense,django__django-10924,9.619656125025358,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_dense,django__django-11001,9.55502616596641,0.25,0.0,0.43067655807339306,0.0,0.43067655807339306,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,0,rag_dense,django__django-11019,9.47446520900121,0.3333333333333333,0.0,0.5,0.5,0.5,0,0.0,0.1,0.3333333333333333,0.2,0.0,1.0,1.0,1.0,False,0.0,
False,0,rag_dense,django__django-11039,8.994015875039622,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_dense,django__django-11049,9.020229957997799,0.25,0.0,0.43067655807339306,0.0,0.43067655807339306,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,0,rag_dense,django__django-11099,9.017292083008215,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,0,rag_dense,django__django-11133,9.04654595797183,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
