applied,edit_similarity,f1@1,f1@10,f1@3,f1@5,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@1,ndcg@10,ndcg@3,ndcg@5,pass_to_pass,precision@1,precision@10,precision@3,precision@5,recall@1,recall@10,recall@3,recall@5,success@1,success@10,success@3,success@5,tests_passed,token_usage,ttft_s
False,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,react_agent,django__django-16527,5.82449849700788,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,False,6855.0,1.4861554319941206
False,,0.0,0.0,0.0,0.0,0,react_agent,sphinx-doc__sphinx-7975,15.80279107199749,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,77685.0,0.8716902669984847
False,,0.0,0.30769230769230765,0.3333333333333333,0.5,0,rag_hybrid,pallets__flask-4045,0.5124963800044497,0.5,0.0,0.4776237035032179,0.2960819109658652,0.4776237035032179,0,0.0,0.2,0.3333333333333333,0.4,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,False,0.0,
False,,1.0,0.5,0.5,0.5,0,react_agent,sphinx-doc__sphinx-8801,12.963580180992722,1.0,1.0,0.46927872602275644,0.46927872602275644,0.46927872602275644,0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,False,41549.0,0.8461782390077133
False,,0.0,0.0,0.0,0.0,0,react_agent,pytest-dev__pytest-7220,18.837404998994316,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,82654.0,1.1472289920056937
False,,1.0,0.6666666666666666,0.8,0.6666666666666666,0,agentic_bm25,astropy__astropy-14995,12.818734885000595,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,44562.0,1.557875228998455
False,,1.0,0.8,0.8,0.8,0,agentic_bm25,django__django-11039,10.345912120999856,1.0,1.0,1.0,1.0,1.0,0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,30989.0,1.324988664000557
False,,1.0,1.0,1.0,1.0,0,agentic_bm25,pytest-dev__pytest-7168,9.461748739999166,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,39879.0,2.1331229850002273
False,,0.0,0.0,0.0,0.0,0,rag_hybrid,pylint-dev__pylint-7080,1.3090483580017462,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0.0,0.16666666666666669,0.4,0.28571428571428575,0,rag_bm25,pallets__flask-5063,0.01913927598798182,0.3333333333333333,0.0,0.3065735963827292,0.3065735963827292,0.3065735963827292,0,0.0,0.1,0.3333333333333333,0.2,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,False,0.0,
False,0.28629856850715746,0.0,0.16666666666666669,0.0,0.28571428571428575,0,agentless,django__django-14999,177.6423545689904,0.25,0.0,0.2640681225725909,0.0,0.2640681225725909,0,0.0,0.1,0.0,0.2,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,False,57434.0,9.360968159991899
