applied,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@10,ndcg@20,ndcg@5,pass_to_pass,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5,tests_passed,token_usage,ttft_s
False,0,rag_hybrid,astropy__astropy-12907,1.2222855100408196,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,astropy__astropy-14182,1.0520702470093966,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_hybrid,astropy__astropy-14365,1.0955330309225246,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,astropy__astropy-14995,1.0974694800097495,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,astropy__astropy-6938,0.782194860978052,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,astropy__astropy-7746,0.8197871909942478,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-10914,1.8080089540453628,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-10924,1.8440893050283194,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11001,1.8056083959527314,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11019,1.8797750970115885,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11039,1.8030523350462317,0.2,0.38685280723454163,0.38685280723454163,0.38685280723454163,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11049,1.7809603789355606,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11099,1.796196743962355,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11133,1.809270286001265,0.16666666666666666,0.3562071871080222,0.3562071871080222,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11179,1.8048291429877281,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11283,1.8246115789515898,0.125,0.31546487678572877,0.31546487678572877,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11422,1.832847401034087,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11564,1.8637310849735513,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11583,1.8487788339843974,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11620,1.8324170149862766,0.3333333333333333,0.5,0.5,0.5,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11630,1.825257558026351,0.25,0.43067655807339306,0.43067655807339306,0.43067655807339306,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11742,1.8248268010793254,0.16666666666666666,0.3562071871080222,0.3562071871080222,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11797,1.8588272779015824,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11815,1.8659885129891336,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11848,1.854250418022275,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11905,1.868817780050449,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11910,1.815248896018602,0.16666666666666666,0.3562071871080222,0.3562071871080222,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-11964,1.8648991959635168,0.2,0.38685280723454163,0.38685280723454163,0.38685280723454163,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_hybrid,django__django-11999,1.8653439109912142,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_hybrid,django__django-12113,1.8664814269868657,0.05263157894736842,0.0,0.23137821315975915,0.0,0,0.0,0.05,0.0,0.0,1.0,0.0,False,0.0,
