applied,f1@1,f1@10,f1@3,f1@5,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@1,ndcg@10,ndcg@3,ndcg@5,pass_to_pass,precision@1,precision@10,precision@3,precision@5,recall@1,recall@10,recall@3,recall@5,success@1,success@10,success@3,success@5,tests_passed,token_usage,ttft_s
False,1.0,0.33333333333333337,0.8,0.5714285714285715,0,rag_bm25,astropy__astropy-12907,0.41534729299746687,1.0,1.0,1.0,1.0,1.0,0,1.0,0.2,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,0.0,
False,0.0,0.0,0.0,0.0,0,rag_bm25,astropy__astropy-14182,0.3916324949968839,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,1.0,0.33333333333333337,0.8,0.5714285714285715,0,rag_bm25,astropy__astropy-14365,0.3969895069967606,1.0,1.0,1.0,1.0,1.0,0,1.0,0.2,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,0.0,
False,1.0,0.33333333333333337,0.4,0.5714285714285715,0,rag_bm25,astropy__astropy-14995,0.4174055490002502,1.0,1.0,0.8503449055347546,0.6131471927654584,0.8503449055347546,0,1.0,0.2,0.3333333333333333,0.4,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,False,0.0,
False,1.0,0.15384615384615383,0.3333333333333333,0.25,0,rag_bm25,astropy__astropy-6938,0.28126562199759064,1.0,1.0,0.46927872602275644,0.46927872602275644,0.46927872602275644,0,1.0,0.1,0.3333333333333333,0.2,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,False,0.0,
False,1.0,0.33333333333333337,0.8,0.5714285714285715,0,rag_bm25,astropy__astropy-7746,0.2863498059959966,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0,1.0,0.2,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,False,0.0,
False,1.0,0.16666666666666669,0.4,0.28571428571428575,0,rag_bm25,django__django-10914,0.5639296759982244,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,0.1,0.3333333333333333,0.2,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,False,0.0,
False,0.0,0.0,0.0,0.0,0,rag_bm25,django__django-10924,0.5629646759989555,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,1.0,0.16666666666666669,0.4,0.28571428571428575,0,rag_bm25,django__django-11001,0.5467455879988847,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,0.1,0.3333333333333333,0.2,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,False,0.0,
False,1.0,0.28571428571428575,0.6666666666666666,0.4444444444444445,0,rag_bm25,django__django-11019,0.6098984239943093,1.0,1.0,0.6366824387328317,0.7653606369886217,0.6366824387328317,0,1.0,0.2,0.6666666666666666,0.4,1.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,False,0.0,
False,0.0,0.33333333333333337,0.4,0.28571428571428575,0,rag_bm25,django__django-11039,0.5028966829995625,0.5,0.0,0.5714285040141098,0.38685280723454163,0.38685280723454163,0,0.0,0.2,0.3333333333333333,0.2,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,False,0.0,
